Identifier,Parent,ChildTree1,ChildTree1_Name,ChildTree2,ChildTree2_Name,Title,Category,SubCategory,Subset,Frequency,Unit,Currency,Discontinued
EXMTXDOTCQ11M,EXMTXDTTCQ11M,,,,,"Merchandise Exports - Other Items (Quick Estimate, Cumulative, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTXDXPCQ11M,EXMTXDTTCQ11M,,,,,"Merchandise Exports: Excluding Petroleum (Quick Estimate, Cumulative, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTXRTECQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Tea (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRCOCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Coffee (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRRCCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Rice (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXROCCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Other cereals (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRTOCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Tobacco (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRSPCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Spices (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRCHCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Cashew (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXROMCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Oil Meals (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXROSCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Oil Seeds (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRFACQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Fruits & Vegetables (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRCECQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Cereal preparations & Miscellaneous processed items (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRMRCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Marine Products (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRMDCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Meat, dairy & poultry products (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRFECQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Iron Ore (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRMCCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Mica, Coal & Other Ores, Minerals including processed minerals (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRLLCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Leather & leather products (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRCPCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Ceramic products & glassware (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRGACQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Gems & Jewellery (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRDACQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Drugs & Pharmaceuticals (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRCLCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Organic & Inorganic Chemicals (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRENCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Engineering Goods (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRETCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Electronic Goods (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRCYCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Cotton Yarn/Fabs./made-ups, Handloom Products etc. (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRMYCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Man-made Yarn/Fabs./made-ups etc. (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRRMCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Ready Made Garments of all Textiles (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRJMCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Jute Manufacturings including Floor Covering (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRCTCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Carpets (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRCRCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Handicrafts excluding hand made carpet (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRPOCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Petroleum Products (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRPACQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Plastic & Linoleum (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRTTCQ11M,,"EXMTXRTECQ11M,EXMTXRCOCQ11M,EXMTXRRCCQ11M,EXMTXROCCQ11M,EXMTXRTOCQ11M,EXMTXRSPCQ11M,EXMTXRCHCQ11M,EXMTXROMCQ11M,EXMTXROSCQ11M,EXMTXRFACQ11M,EXMTXRCECQ11M,EXMTXRMRCQ11M,EXMTXRMDCQ11M,EXMTXRFECQ11M,EXMTXRMCCQ11M,EXMTXRLLCQ11M,EXMTXRCPCQ11M,EXMTXRGACQ11M,EXMTXRDACQ11M,EXMTXRCLCQ11M,EXMTXRENCQ11M,EXMTXRETCQ11M,EXMTXRCYCQ11M,EXMTXRMYCQ11M,EXMTXRRMCQ11M,EXMTXRJMCQ11M,EXMTXRCTCQ11M,EXMTXRCRCQ11M,EXMTXRPOCQ11M,EXMTXRPACQ11M,EXMTXROTCQ11M",Sector Classification,EXMTXRXPCQ11M,Calculated Indicators,"Merchandise Exports - Total (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXROTCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports - Other Items (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTXRXPCQ11M,EXMTXRTTCQ11M,,,,,"Merchandise Exports: Excluding Petroleum (Quick Estimate, Cumulative, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMRLLPQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Artificial resins, plastic materials, etc. (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDLLPQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Artificial resins, plastic materials, etc. (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRCPGQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Chemical material & products (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDCPGQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Chemical material & products (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRFAVQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Coal, Coke & Briquettes, etc. (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDFAVQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Coal, Coke & Briquettes, etc. (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRTEAQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Cotton Raw & Waste (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDTEAQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Cotton Raw & Waste (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRMCOQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Dyeing/tanning/colouring materials (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDMCOQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Dyeing/tanning/colouring materials (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRCRPQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Electronic goods (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDCRPQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Electronic goods (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRCHWQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Fertilisers, Crude & manufactured (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDCHWQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Fertilisers, Crude & manufactured (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMROCEQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Fruits & Vegetables (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDOCEQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Fruits & Vegetables (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRPOLQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Gold (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDPOLQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Gold (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMROICQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Iron & Steel (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDOICQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Iron & Steel (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRMDPQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Leather & leather products (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDMDPQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Leather & leather products (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRETRQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Machine tools (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDETRQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Machine tools (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRCYFQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Machinery, electrical & non-electrical (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDCYFQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Machinery, electrical & non-electrical (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRHDCQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Medicinal & Pharmaceutical products (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDHDCQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Medicinal & Pharmaceutical products (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMROSDQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Metaliferrous ores & other minerals (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDOSDQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Metaliferrous ores & other minerals (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRGAJQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Newsprint (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDGAJQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Newsprint (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRENGQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Non-ferrous metals (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDENGQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Non-ferrous metals (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRFEOQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Organic & Inorganic Chemicals (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDFEOQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Organic & Inorganic Chemicals (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMROTRQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Other Items (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDOTRQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Other Items (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRDAPQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Pearls, precious & Semi-precious stones (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDDAPQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Pearls, precious & Semi-precious stones (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRCEPQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Petroleum, Crude & products (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDCEPQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Petroleum, Crude & products (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRJMGQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Professional instruments, Optical goods, etc. (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDJMGQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Professional instruments, Optical goods, etc. (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRRMGQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Project goods (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDRMGQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Project goods (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRTOBQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Pulp and Waste paper (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDTOBQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Pulp and Waste paper (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRRICQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Pulses (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDRICQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Pulses (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRPALQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Silver (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDPALQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Silver (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMROMLQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Sulphur & Unroasted Iron Pyrites (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDOMLQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Sulphur & Unroasted Iron Pyrites (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRSPIQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Textile yarn Fabric, made-up articles (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDSPIQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Textile yarn Fabric, made-up articles (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRTOTQ11M,,"EXMTMRTEAQ11M,EXMTMRCOFQ11M,EXMTMRRICQ11M,EXMTMROCEQ11M,EXMTMRTOBQ11M,EXMTMRSPIQ11M,EXMTMRCHWQ11M,EXMTMROMLQ11M,EXMTMROSDQ11M,EXMTMRFAVQ11M,EXMTMRCEPQ11M,EXMTMRMRPQ11M,EXMTMRMDPQ11M,EXMTMRFEOQ11M,EXMTMRMCOQ11M,EXMTMRLLPQ11M,EXMTMRCPGQ11M,EXMTMRGAJQ11M,EXMTMRDAPQ11M,EXMTMROICQ11M,EXMTMRENGQ11M,EXMTMRETRQ11M,EXMTMRCYFQ11M,EXMTMRMYFQ11M,EXMTMRRMGQ11M,EXMTMRJMGQ11M,EXMTMRCRPQ11M,EXMTMRHDCQ11M,EXMTMRPOLQ11M,EXMTMRPALQ11M,EXMTMROTRQ11M",Sector Classification,"EXMTMRXPTQ11M,EXMTMRXGSQ11M,EXMTMRXPGQ11M",Calculated Indicators,"Merchandise Imports - Total (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDTOTQ11M,,"EXMTMDTEAQ11M,EXMTMDCOFQ11M,EXMTMDRICQ11M,EXMTMDOCEQ11M,EXMTMDTOBQ11M,EXMTMDSPIQ11M,EXMTMDCHWQ11M,EXMTMDOMLQ11M,EXMTMDOSDQ11M,EXMTMDFAVQ11M,EXMTMDCEPQ11M,EXMTMDMRPQ11M,EXMTMDMDPQ11M,EXMTMDFEOQ11M,EXMTMDMCOQ11M,EXMTMDLLPQ11M,EXMTMDCPGQ11M,EXMTMDGAJQ11M,EXMTMDDAPQ11M,EXMTMDOICQ11M,EXMTMDENGQ11M,EXMTMDETRQ11M,EXMTMDCYFQ11M,EXMTMDMYFQ11M,EXMTMDRMGQ11M,EXMTMDJMGQ11M,EXMTMDCRPQ11M,EXMTMDHDCQ11M,EXMTMDPOLQ11M,EXMTMDPALQ11M,EXMTMDOTRQ11M",Sector Classification,"EXMTMDXPTQ11M,EXMTMDXGSQ11M,EXMTMDXPGQ11M",Calculated Indicators,"Merchandise Imports - Total (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRMYFQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Transport equipment (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDMYFQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Transport equipment (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRCOFQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Vegetable Oil (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDCOFQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Vegetable Oil (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRMRPQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports - Wood &  Wood products (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDMRPQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports - Wood &  Wood products (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRXGSQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports: Excluding Gold and Silver (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDXGSQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports: Excluding Gold and Silver (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRXPTQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports: Excluding Petroleum (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDXPTQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports: Excluding Petroleum (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMRXPGQ11M,EXMTMRTOTQ11M,,,,,"Merchandise Imports: Excluding Petroleum, Gold and Silver (Quick Estimate, Monthly, Rupees)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,Rupees,INR,N
EXMTMDXPGQ11M,EXMTMDTOTQ11M,,,,,"Merchandise Imports: Excluding Petroleum, Gold and Silver (Quick Estimate, Monthly, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMDTECQ11M,EXMTMDTOCQ11M,,,,,"Merchandise Imports - Cotton Raw & Waste (Quick Estimate, Cumulative, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMDCOCQ11M,EXMTMDTOCQ11M,,,,,"Merchandise Imports - Vegetable Oil (Quick Estimate, Cumulative, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMDRCCQ11M,EXMTMDTOCQ11M,,,,,"Merchandise Imports - Pulses (Quick Estimate, Cumulative, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMDOCCQ11M,EXMTMDTOCQ11M,,,,,"Merchandise Imports - Fruits & Vegetables (Quick Estimate, Cumulative, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMDPPWQ11M,EXMTMDTOCQ11M,,,,,"Merchandise Imports - Pulp and Waste paper (Quick Estimate, Cumulative, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
EXMTMDSPCQ11M,EXMTMDTOCQ11M,,,,,"Merchandise Imports - Textile yarn Fabric, made-up articles (Quick Estimate, Cumulative, US Dollar)",Foreign Trade,Merchandise Trade,Quick Estimates,Monthly,US Dollar,USD,N
